Name,helmet,cape,amulet,weapon,body,sheild,Equip7,legs,Equip9,gloves,boots,Equip12,Loc_x,Loc_y,Anim_id,Overall,Attack,Defence,Strength,Hitpoints,Ranged,Prayer,Magic,Cooking,Woodcutting,Fletching,Fishing,Firemaking,Crafting,Smithing,Mining,Herblore,Agility,Thieving,Slayer,Farming,Runecrafting,Hunter,Construction,Location
Firefly1832,-1,-1,-1,1381,-1,-1,-1,-1,-1,-1,-1,-1,3160,3474,-1,344,46,1,80,69,27,19,24,1,1,22,1,1,1,15,1,1,1,1,20,1,1,9,1,ge
Dudentp,-1,6570,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3151,3490,-1,1731,99,99,99,99,93,78,90,70,63,83,69,65,65,74,68,59,71,60,93,66,43,62,63,ge
Play8000,3751,6568,6585,4151,10551,6524,-1,4087,-1,2912,11840,-1,3175,3488,-1,992,70,68,62,67,56,43,78,53,1,39,52,50,41,39,36,27,33,42,43,4,21,1,26,ge
Linkvas12,1169,1027,1731,853,1135,-1,-1,1099,-1,1065,1061,-1,3159,3482,-1,530,41,44,51,49,46,23,50,42,30,1,30,35,20,30,30,1,1,1,1,1,1,1,1,ge
jhonkx4,-1,-1,-1,1381,-1,-1,-1,-1,-1,-1,1061,-1,3166,3485,-1,601,58,50,51,54,49,43,68,4,36,10,1,6,40,29,11,20,1,28,38,1,1,1,1,ge
10 Pure 2277,1949,-1,1662,837,1119,1191,-1,6181,-1,1059,-1,-1,3166,3470,-1,385,20,42,42,41,23,23,42,37,39,1,2,37,21,1,6,1,1,1,1,1,1,1,1,ge
Lightw0rk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3169,3484,-1,1164,70,63,66,71,75,60,69,64,56,65,63,63,50,44,40,37,43,35,61,1,9,9,50,ge
maestroliu06,-1,1029,-1,1353,-1,-1,-1,-1,-1,-1,-1,-1,3155,3470,-1,678,48,51,47,54,54,46,72,49,46,1,40,47,18,1,30,1,67,1,1,1,1,1,1,ge
S2am,-1,-1,6585,13652,12596,-1,-1,12383,-1,-1,2577,-1,3168,3489,-1,495,60,2,71,71,76,27,76,3,35,1,1,1,29,1,1,1,1,1,33,1,1,1,1,ge
XOXP,11850,11852,4021,-1,11854,-1,-1,-1,-1,11858,11860,-1,3166,3487,-1,1559,85,77,84,85,83,70,76,66,55,78,63,60,70,70,68,47,62,64,79,58,46,63,50,ge
IVarhan,2613,13679,1725,1331,2607,2611,-1,2609,-1,1063,9005,-1,3163,3492,-1,363,33,31,40,39,20,16,45,57,7,1,22,20,3,1,20,1,1,1,1,1,1,1,1,ge
egfvk3953,1017,1019,1727,1381,581,1189,-1,1095,-1,-1,-1,-1,3175,3491,-1,175,7,6,10,20,1,8,39,3,2,1,2,9,1,23,31,1,1,1,1,1,5,1,1,ge
Ironwight66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3167,3490,-1,86,1,1,1,10,1,1,1,1,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ge
Iamtdot,23448,4345,23309,1281,12235,12243,-1,12237,-1,13665,11019,-1,3163,3492,-1,217,5,2,24,18,1,30,1,15,41,1,6,44,2,4,15,1,1,1,1,1,1,1,1,ge
Lord Enoch,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3164,3492,-1,1128,44,40,44,54,63,44,72,99,66,99,46,41,40,42,55,41,33,12,28,18,24,72,51,ge
wxtn718,6182,-1,-1,853,-1,-1,-1,-1,-1,-1,-1,-1,3162,3465,-1,339,20,27,3,29,35,23,18,25,43,1,7,18,7,29,23,1,1,1,1,1,24,1,1,ge
G-R8,12455,23410,10366,1381,12225,-1,-1,7380,-1,2902,7596,-1,3162,3491,-1,0,53,1,1,54,60,1,1,1,1,1,1,39,31,1,1,1,1,1,1,1,1,29,1,ge
beastlyOG,9752,9750,10364,4151,1035,-1,-1,1033,-1,10368,11840,-1,3165,3487,-1,1601,92,85,99,96,92,70,84,70,64,60,66,52,70,70,57,71,70,53,60,75,35,60,50,ge
raphcote1995,1157,4361,-1,1315,-1,-1,-1,-1,-1,-1,-1,-1,3163,3487,-1,219,20,22,35,38,16,12,47,4,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,ge
Wormey,-1,4351,1478,1387,1131,-1,-1,1095,-1,1063,1061,-1,3164,3487,713,443,1,10,1,27,31,45,97,60,60,1,1,1,49,50,1,1,1,1,1,1,1,1,1,ge
SirDeltra,19699,9810,9470,1387,2669,8850,-1,10394,-1,11118,-1,-1,3162,3491,-1,1407,70,63,70,71,67,50,72,80,63,65,58,68,61,50,60,43,50,42,54,99,40,70,41,ge
wendy848,-1,4405,1731,1273,6654,-1,-1,-1,-1,2912,23294,-1,3162,3487,1989,410,30,30,34,36,1,18,46,38,40,1,34,36,3,30,25,1,1,1,1,1,1,1,1,ge
LckMyPickle,23448,-1,1731,1385,13663,-1,-1,13664,-1,-1,13182,-1,3167,3471,-1,665,50,45,59,55,40,46,57,47,37,9,41,18,30,39,50,1,1,5,31,1,1,1,1,ge
AK20Mage,6182,-1,1478,-1,-1,1177,-1,-1,-1,1059,9005,-1,3165,3487,-1,264,7,26,17,31,1,16,44,39,12,1,40,11,2,1,8,1,1,1,1,1,1,1,1,ge
Zker,-1,-1,10364,1333,-1,-1,-1,-1,-1,2922,-1,-1,3160,3491,-1,805,60,42,83,76,75,52,66,35,36,35,40,30,31,36,35,1,31,14,1,1,23,1,1,ge
Kidz Emo,1050,9781,6585,12773,11832,12954,-1,11834,-1,7462,13239,-1,3151,3491,-1,1790,85,83,81,85,79,99,72,99,85,90,80,82,99,62,72,70,76,57,80,92,48,64,50,ge
Zajhel,1017,-1,-1,1387,24021,-1,-1,24012,-1,24311,24313,-1,3173,3487,-1,1299,73,71,75,79,78,60,83,99,74,66,76,80,70,50,61,27,47,33,51,3,32,9,2,ge
shqipe ownz,1163,6568,6585,22361,1127,8850,-1,1079,-1,-1,4131,-1,3166,3487,-1,623,60,44,81,79,85,44,60,10,36,9,1,4,31,1,10,1,31,1,31,1,1,1,1,ge
Hahadude1,579,4393,1727,1387,577,-1,-1,1033,-1,1065,1061,-1,3165,3487,-1,1101,67,60,68,69,67,48,51,68,62,44,71,68,61,40,50,11,46,27,49,20,31,1,22,ge
nlledsirb,-1,-1,-1,1379,-1,-1,-1,-1,-1,-1,1061,-1,3165,3487,-1,285,30,30,30,31,8,14,25,14,36,1,7,39,7,1,4,1,1,1,1,1,1,1,1,ge
Peetripeetri,1153,1019,1731,23330,1115,1191,-1,1067,-1,-1,9005,-1,3169,3488,-1,268,40,1,50,42,1,10,10,28,3,1,22,5,8,29,10,1,1,1,1,1,1,1,1,ge
Omariaiman,2605,13679,10364,1387,23404,7346,-1,2601,-1,1065,9006,-1,3165,3487,-1,666,41,33,70,60,50,30,76,56,40,1,40,40,41,40,40,1,1,1,1,1,1,1,1,ge
Dog lover772,1046,-1,10364,1361,-1,-1,-1,12229,-1,-1,23291,-1,3160,3490,-1,215,11,1,23,18,1,1,10,29,40,1,20,39,2,1,10,1,1,1,1,1,1,1,1,ge
Mr WiseBoat,1038,-1,1731,22361,-1,-1,-1,-1,-1,-1,-1,-1,3162,3491,-1,789,54,50,51,54,51,43,47,43,40,36,31,40,49,40,47,3,32,26,45,4,1,1,1,ge
Blackhawks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3165,3487,-1,1881,98,99,95,99,99,75,84,79,72,75,90,80,75,70,70,72,71,73,97,89,67,70,82,ge
killing1238,2627,4387,10364,1333,1113,2629,-1,2625,-1,1063,1061,-1,3164,3487,-1,251,49,40,50,47,1,14,31,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ge
AssSlapHer,12321,10498,1708,861,7370,-1,-1,7378,-1,1065,6328,-1,3158,3490,-1,683,50,42,55,52,54,17,52,38,50,25,44,25,40,29,20,1,31,25,21,1,1,9,1,ge
Myst155,1949,23410,1725,841,1035,-1,-1,1033,-1,2902,1061,-1,3165,3487,-1,518,41,44,45,42,8,30,45,63,46,1,61,35,18,15,16,1,1,1,1,1,1,1,1,ge
WindsOfHell,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3162,3490,-1,919,61,60,60,62,48,44,62,77,70,6,72,65,32,34,44,9,60,32,1,17,1,1,1,ge
Saranghay,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3161,3490,-1,1817,99,94,99,99,99,86,99,71,69,52,79,61,71,70,85,79,73,74,83,69,55,69,82,ge
God Serbon,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3161,3488,-1,1392,79,75,90,86,82,76,86,76,56,72,53,59,85,55,61,49,46,45,80,20,24,9,28,ge
7seco 1997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3159,3485,-1,555,50,44,74,65,54,13,48,43,30,1,52,3,28,10,32,1,1,1,1,1,1,1,1,ge
MediAtBest,-1,-1,-1,11998,-1,-1,-1,-1,-1,-1,-1,-1,3158,3484,-1,1406,70,66,68,72,70,65,70,75,69,68,62,74,59,67,61,41,60,47,62,39,40,45,56,ge
pabisio,1057,1019,1658,-1,1035,-1,-1,1033,-1,2922,-1,-1,3163,3487,-1,574,40,33,38,40,31,26,51,46,55,1,42,23,74,32,20,1,1,1,1,1,15,1,1,ge
Taxi2UrGrave,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3162,3488,-1,0,1,1,62,72,78,1,85,1,1,1,1,38,1,1,1,1,1,1,1,1,1,1,1,ge
Phenzo27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3162,3489,-1,698,40,44,44,45,42,35,46,46,51,1,39,55,76,56,41,1,1,1,1,1,30,1,1,ge
Dirty Candle,11862,9748,20366,22324,-1,-1,-1,-1,-1,2491,7114,-1,3166,3475,-1,1666,99,99,99,99,95,77,92,74,75,81,67,61,75,58,64,61,65,80,75,41,46,33,50,ge
MarsIsBetter,6188,-1,21173,-1,-1,-1,-1,-1,-1,-1,-1,-1,3163,3487,-1,839,61,51,55,57,40,33,50,34,42,1,30,43,39,43,67,20,36,32,20,5,6,50,24,ge
EscanorOSRS,10828,6570,19553,13652,4940,-1,-1,11834,-1,7462,22234,-1,3160,3475,-1,1826,90,90,95,95,97,75,99,70,72,70,86,65,75,73,74,66,71,71,84,87,57,89,75,ge
Rona19,-1,-1,-1,-1,6654,13660,-1,-1,-1,-1,9005,-1,3167,3487,-1,297,20,20,20,28,1,6,37,10,40,1,1,10,37,1,40,1,1,1,1,1,18,1,1,ge
BrushyJam,2581,10499,6585,21902,10386,11926,-1,12510,-1,12506,19933,-1,3166,3477,-1,1147,63,73,58,80,88,64,50,33,44,50,50,50,55,51,50,39,45,53,75,43,9,10,14,ge
W H 4 L E,12259,12197,1710,22545,544,3842,-1,542,-1,7458,3105,-1,3169,3471,-1,1503,75,1,94,91,97,52,95,69,69,69,69,69,69,59,59,78,47,53,55,69,44,55,65,ge
Beastasor,20266,9801,10364,2462,2936,3842,-1,2938,-1,11972,2934,-1,3166,3475,-1,773,50,65,53,58,45,47,1,99,1,85,1,1,47,1,1,1,36,16,32,1,1,1,26,ge
1der,24525,23410,10364,9705,12451,-1,-1,12447,-1,3060,3061,-1,3166,3487,-1,720,1,1,1,10,1,1,1,99,80,1,88,99,99,99,70,1,1,1,1,1,62,1,1,ge
Crusader2547,1153,1007,-1,-1,544,-1,-1,542,-1,1063,-1,-1,3162,3487,-1,219,20,1,1,45,11,10,61,7,1,1,1,1,11,29,11,1,1,1,1,1,1,1,1,ge
names cyrus,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3159,3487,-1,1867,99,99,99,99,99,89,99,75,71,70,70,79,75,73,74,78,72,73,82,80,58,70,84,ge
Zoro man5,2657,13679,1731,1333,2653,2659,-1,2655,-1,2932,1061,-1,3163,3487,-1,1018,46,50,50,48,41,44,53,57,70,44,50,50,74,70,52,30,50,34,29,34,40,1,1,ge
germani21,1169,-1,1731,853,1133,-1,-1,1097,-1,-1,-1,-1,3164,3487,-1,455,40,40,40,45,39,2,41,1,41,1,20,44,42,36,15,1,1,1,1,1,1,1,1,ge
The Baldy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3159,3484,-1,1285,75,71,96,92,93,61,90,70,67,33,49,50,61,45,60,31,54,53,58,20,28,1,27,ge
yonny12,2605,-1,1725,1333,23401,2603,-1,1071,-1,-1,-1,-1,3164,3487,-1,564,44,43,44,45,27,29,41,43,47,1,46,40,40,12,36,1,1,1,1,1,19,1,1,ge
Vitzliputzli,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3163,3487,-1,1002,80,72,92,98,99,77,89,1,77,25,1,1,70,30,1,20,36,38,41,1,1,1,1,ge
kiler jean,1163,4335,1727,1333,1113,2629,-1,2625,-1,2912,1061,-1,3167,3490,-1,402,41,41,44,44,1,29,44,24,8,1,20,11,8,38,40,1,1,1,1,1,1,1,1,ge
Toasted Leaf,2587,1019,1731,-1,2583,-1,-1,2585,-1,2922,1061,-1,3163,3475,-1,422,40,10,36,38,40,19,1,53,60,1,42,32,3,29,10,1,1,1,1,1,1,1,1,ge
Charl3s,12434,9760,-1,12357,19973,-1,-1,19979,-1,-1,23285,-1,3162,3471,-1,1830,99,99,99,99,98,99,97,94,79,87,78,70,77,60,62,70,70,55,90,62,61,56,69,ge
dunskie_hunt,579,1021,1727,24537,577,-1,-1,1011,-1,2912,1061,-1,3163,3487,-1,346,40,45,51,46,1,22,47,5,16,1,1,12,8,29,14,1,1,1,1,1,1,1,1,ge
BabaSalujah,11663,2413,12002,-1,8839,12612,-1,8840,-1,8842,-1,-1,3166,3466,-1,1445,84,78,99,98,96,77,96,82,57,38,85,50,61,50,63,53,52,53,26,9,26,80,32,ge
DMTboofer,10286,1019,10364,1333,1113,7336,-1,1093,-1,1063,7596,-1,3159,3485,-1,470,37,37,37,39,20,36,37,44,45,1,24,30,8,26,41,1,1,1,1,1,1,1,1,ge
Chimei34,1163,1019,1731,1303,1113,1201,-1,1079,-1,2922,1061,-1,3164,3481,-1,312,40,40,40,40,1,30,1,4,60,1,10,1,3,1,32,1,1,1,1,1,1,1,1,ge
Ss_Atlas_sS,1163,23297,1731,1333,1127,1201,-1,1093,-1,-1,-1,-1,3167,3488,-1,814,64,60,61,62,50,43,1,50,52,35,1,53,1,1,1,12,36,39,19,1,5,9,38,ge
HC Hardstyl3,579,1021,1694,853,577,-1,-1,1099,-1,1065,1061,-1,3168,3472,-1,433,30,40,30,38,40,15,17,30,22,1,28,12,40,38,44,1,1,1,1,1,1,1,1,ge
SKRILLEX_05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3154,3487,-1,496,50,50,50,52,32,19,51,4,32,1,1,18,38,1,50,1,1,1,1,1,40,1,1,ge
TheWelshGuy7,12638,6570,6585,4587,6107,3842,-1,2497,-1,11133,3105,-1,3166,3475,-1,859,60,1,77,73,80,45,94,1,1,26,1,50,31,1,1,17,30,53,22,35,1,9,36,ge
Anthracosaur,579,4371,1731,1381,577,1199,-1,1095,-1,1063,1061,-1,3167,3487,-1,235,21,33,1,39,27,15,51,7,12,1,3,14,1,1,1,1,1,1,1,1,1,1,1,ge
Doomrush2573,12455,-1,-1,853,1113,-1,-1,12447,-1,-1,-1,-1,3169,3489,-1,278,35,40,35,42,46,37,8,7,1,1,7,4,3,1,3,1,1,1,1,1,1,1,1,ge
GrandmaMacie,579,4381,1725,1387,577,-1,-1,-1,-1,-1,9005,-1,3167,3487,-1,345,21,17,25,27,1,16,35,52,2,1,7,4,26,33,36,1,1,1,1,1,35,1,1,ge
Verduneitor,1161,4409,1731,1381,1111,-1,-1,1099,-1,1065,1061,-1,3167,3487,-1,443,40,50,50,56,62,29,46,8,35,1,1,3,14,29,11,1,1,1,1,1,1,1,1,ge
loose granny,2581,10499,6585,20730,20840,20846,-1,20842,-1,7458,2577,-1,3166,3473,-1,633,44,1,61,53,60,16,50,49,52,11,24,21,33,9,10,32,31,26,33,9,6,1,1,ge
unit kezza,12453,20214,10366,23334,12449,3488,-1,12445,-1,2922,23294,-1,3161,3476,-1,486,40,40,38,54,35,26,70,35,7,1,36,3,49,20,24,1,1,1,1,1,1,1,1,ge
21square2494,9472,9775,-1,-1,-1,19722,-1,-1,-1,-1,13358,-1,3159,3472,-1,1514,80,79,80,81,70,80,99,99,63,99,70,70,99,60,60,99,59,39,26,33,38,11,20,ge
Christzy,1163,4367,10364,1333,1113,1201,-1,1093,-1,-1,-1,-1,3167,3487,-1,675,69,62,60,62,42,66,42,40,37,1,10,33,1,38,57,1,6,25,19,1,1,1,1,ge
trizzxx,1159,1019,1729,1331,1121,1197,-1,1071,-1,-1,1061,-1,3166,3485,-1,473,30,24,20,31,1,22,43,50,51,1,52,40,61,23,16,1,1,1,1,1,1,1,1,ge
Shadaz0,1038,4335,-1,1327,1101,1191,-1,1067,-1,-1,-1,-1,3159,3489,-1,230,21,20,20,22,1,3,1,30,22,1,1,26,1,50,3,1,1,1,1,1,1,1,1,ge
Cryogen ic,1037,9783,10364,1387,-1,-1,-1,-1,-1,-1,-1,-1,3164,3487,713,732,40,20,36,36,40,52,90,16,36,99,1,25,52,43,37,34,22,13,20,9,9,1,1,ge
Zezimaloljk,11021,9759,1718,1387,22351,-1,-1,13664,-1,11858,11019,-1,3157,3474,-1,1499,42,50,43,57,61,99,87,72,84,68,65,75,79,62,77,61,72,69,48,55,70,28,75,ge
GmaulJack,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3166,3466,-1,552,50,1,70,72,80,16,35,1,36,65,1,1,21,1,1,1,32,1,55,1,1,9,1,ge
Frostt_0,1153,4405,1725,1333,1115,1191,-1,1099,-1,1065,1061,-1,3167,3487,-1,572,40,1,45,55,63,10,48,41,41,1,40,42,40,40,44,1,1,1,1,1,14,1,1,ge
Hop is Hip,21838,23410,10366,22719,24015,24428,-1,7378,-1,21855,23288,-1,3166,3465,-1,0,1,1,1,1,1,1,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,ge
FastFlame750,3751,6568,1704,4587,10564,6524,-1,4087,-1,11120,11840,-1,3165,3466,-1,922,70,68,70,72,71,50,63,41,37,18,36,19,33,63,85,10,31,20,61,1,1,1,1,ge
Raveoloution,11850,10450,6585,4675,10378,3842,-1,10380,-1,10376,23285,-1,3169,3483,-1,1264,60,45,75,71,75,47,76,57,46,51,63,54,55,52,49,50,64,53,47,51,38,58,27,ge
NorCal408,23448,23297,10364,23446,13663,-1,-1,13664,-1,13665,13182,-1,3174,3472,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ge
Chladni,1155,-1,-1,1367,1115,1175,-1,1075,-1,-1,-1,-1,3170,3484,-1,2020,96,96,96,99,97,80,91,90,80,83,90,99,85,86,80,85,85,80,95,85,80,80,82,ge
doit4myhood,1163,-1,10364,1333,1127,1201,-1,1079,-1,1059,1061,-1,3167,3489,-1,762,60,45,78,68,22,48,43,67,41,15,65,44,37,43,59,3,1,18,1,1,1,1,1,ge
Draze,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3157,3484,-1,1374,99,92,99,99,95,72,83,54,56,60,56,38,71,31,39,52,53,48,89,21,1,10,56,ge
Mamix1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3175,3483,-1,617,40,48,40,43,10,24,42,60,30,1,35,55,69,60,30,1,1,1,1,1,23,1,1,ge
0BlackPlague,-1,-1,6585,-1,-1,-1,-1,-1,-1,-1,-1,-1,3164,3487,-1,927,63,62,63,68,71,50,61,59,45,38,58,21,33,48,64,10,33,21,47,1,1,9,1,ge
Soscovoshky,11664,11852,-1,-1,11854,-1,-1,11856,-1,11858,11860,-1,3168,3472,-1,1576,86,85,89,91,90,70,83,70,61,52,62,63,70,57,72,42,70,56,79,53,53,92,30,ge
Myles_008,-1,-1,-1,1271,-1,-1,-1,-1,-1,-1,-1,-1,3172,3488,-1,465,41,44,39,39,17,31,33,30,20,1,25,23,21,40,52,1,1,1,1,1,2,1,1,ge
yourboy97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3162,3488,-1,363,41,42,88,77,2,31,52,4,1,1,1,1,3,1,10,1,1,1,1,1,1,1,1,ge
